Molecular_Name,SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3
Aromatic_31,NCc1ccc([N+](=O)[O-])cc1,11.0,11.0,11.0,2.0,1.0,0.0,4.0,1.0,3.0,0.0,152.153,61.48170000000002,82.99199999999999,2.6186095402608243,0.0172103706338386,69.16,1.0535,40.987800000000014,0.1428571428571428,2.47476887472583,0.2689434773073631,-0.3264974374025,-4.017254365419975e-18,1.0,1.0,0.0,2.9138015626758045,255.64801312948788,-1.42,1.7475275336302618
Aromatic_32,c1ccc2c(c1)Cc3ccccc23,13.0,13.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,166.22299999999998,82.02600000000004,0.0,2.549939283173245,0.0153404719433097,0.0,3.2578000000000014,54.684000000000026,0.0769230769230769,2.026467193006275,0.0629344540149905,-0.0619392448998263,-3.4505912619973445e-18,3.0,2.0,0.0,2.320727984740838,411.600419055168,-1.5599999999999996,0.9194459577346938
Aromatic_33,Clc1ccc(CC)cc1,9.0,9.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,140.613,61.24500000000003,0.0,2.468306714544485,0.0175539011114945,0.0,2.902400000000001,40.83000000000002,0.25,2.2959098327061818,0.0638503011484442,-0.0843441327428068,1.3492293702041833e-18,1.0,1.0,0.0,2.8815558776461354,176.26405299160078,-0.49,1.7210460363481006
Aromatic_34,CCc1ccccc1,8.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,106.16799999999996,53.73,0.0,2.02042083670871,0.0190304123434396,0.0,2.249000000000001,35.82,0.25,1.9759538065149107,0.062560165367501,-0.0622487416550616,-9.637352644315597e-19,1.0,1.0,0.0,2.8320858350070908,141.38429890473827,-0.78,1.0935372033822537
Aromatic_35,OCc1ccc(CCC)cc1,11.0,11.0,11.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,150.221,69.53970000000004,24.276,2.853140176152825,0.0189929514326217,20.23,2.1314,46.35980000000003,0.4,2.160219239366588,0.210528197376446,-0.3916804657027852,4.996003610813204e-18,1.0,1.0,0.0,2.664537066654608,200.6176913996566,-0.8200000000000001,2.353634969294642
Aromatic_36,C(=O)Oc1ccccc1,9.0,9.0,9.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,122.12299999999996,49.701,31.56,2.137667069865535,0.0175042133943755,26.3,1.2217999999999998,33.134,0.0,2.4571537301633013,0.2979959636284118,-0.4287646176764367,-6.013708050052932e-18,1.0,1.0,0.0,2.719528532842932,181.367456039361,-1.31,1.5671993724978988
Aromatic_37,OCc1ccc(Br)cc1,9.0,9.0,9.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,187.036,60.09720000000003,24.276,2.576721842475916,0.0137766089346398,20.23,1.9414,40.06480000000002,0.1428571428571428,3.1122248106030748,0.2105281974137228,-0.3916804578460263,3.2526065174565133e-18,1.0,1.0,0.0,2.881555877646136,180.61256853719752,-0.3400000000000001,1.8049473210371625
Aromatic_38,C(=O)Oc1ccc(I)cc1,10.0,10.0,10.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,248.019,68.77650000000003,31.56,2.7896719042572493,0.0112478152601592,26.3,1.8264,45.85100000000001,0.0,3.606159028066867,0.2979959727490927,-0.4287633270725185,-1.3530843112619097e-17,1.0,1.0,0.0,2.7828495900077543,217.5526454939854,-0.5800000000000001,1.982580223575813
Aromatic_39,Oc1ccc(C)cc1,8.0,8.0,8.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,108.14,49.2657,24.276,2.018474501453086,0.0186653826778962,20.23,1.70062,32.843799999999995,0.1428571428571428,2.195036258592971,0.2930920704807113,-0.5079666481555334,-3.903127820947816e-18,1.0,1.0,0.0,3.0324555320336755,143.24662946459569,-0.98,0.9971092570832982
Aromatic_40,NCc1ccc(N)cc1,9.0,9.0,9.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,122.17099999999998,58.11870000000002,62.44799999999999,2.25836347230021,0.0184852661745827,52.04,0.7275,38.74580000000001,0.1428571428571428,2.1020944704183933,0.156215748014648,-0.3987285519191013,-2.9216395384872547e-18,1.0,1.0,0.0,2.881555877646136,178.61256853719752,-1.02,1.435851175012691
