SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3,Tg
Cc1ccc(CCC)cc1,10,10,10,2,1,0,0,0,0,0,134.222,67.761,0.0,2.620355219,0.019522546,0.0,2.94752,45.174,0.4,1.980814894,0.062570269,-0.065065438,-4.34e-19,1,1,0,2.693803452,183.6982132,-0.78,1.870576849,268.1626060984848
Ic1ccccc1,7,7,7,0,1,0,1,0,0,0,204.01,58.7385,0.0,1.947358533,0.009545407,0.0,2.2912,39.159,0.0,3.473190438,0.063385161,-0.062194927,-6.22e-18,1,1,0,3.02146531,134.1073697,-0.05,1.468848147,244.5545380952377
Fc1ccc(C)cc1,8,8,8,0,1,0,1,0,0,0,110.131,46.7055,0.0,2.015405359,0.018300073,0.0,2.13412,31.137,0.142857143,2.357987767,0.122726866,-0.207012172,-1.85e-18,1,1,0,3.032455532,143.2466295,-0.85,1.059403088,218.49892000000014
Ic1ccc(O)cc1,8,8,8,0,1,0,2,1,1,0,220.009,61.2357,24.276,2.284775871,0.01038492,20.23,1.9968,40.8238,0.0,3.592822429,0.293092081,-0.507965715,-8.54e-18,1,1,0,3.032455532,147.3883389,-0.25,1.364727153,359.24444976190466
Brc1ccc(N)cc1,8,8,8,0,1,0,2,1,1,0,172.025,57.8316,31.224,2.290494682,0.013314894,26.02,2.0313,38.5544,0.0,2.974584778,0.156215755,-0.398727786,-4.21e-18,1,1,0,3.032455532,147.3883389,-0.5,1.234072022,401.3273755952382
CCc1ccc(C(=O)N)cc1,11,11,11,2,1,0,2,1,1,0,149.193,66.50685,51.708,2.651741051,0.017773897,43.09,1.3479,44.3379,0.222222222,2.243272652,0.248195452,-0.365599509,-2.52e-18,1,1,0,2.913801563,250.7701726,-1.31,1.802305551,405.770768452381
Cc1ccc(Br)cc1,8,8,8,0,1,0,1,0,0,0,171.037,58.3185,0.0,2.290242872,0.013390336,0.0,2.75752,38.879,0.142857143,2.932808578,0.063469229,-0.058204339,2.31e-19,1,1,0,3.032455532,143.2466295,-0.3,1.338218727,248.8663658333331
C(=O)Oc1ccc(OC)cc1,11,11,11,3,1,0,3,0,3,0,152.149,59.529,42.636,2.635153882,0.017319561,35.53,1.2304,39.686,0.125,2.555880284,0.297995998,-0.4967638,1.1e-18,1,1,0,2.736673954,227.5974159,-1.51,1.965048096,377.9162533008659
CCc1ccc(CC)cc1,10,10,10,2,1,0,0,0,0,0,134.222,67.797,0.0,2.499840239,0.018624668,0.0,2.8114,45.198,0.4,1.979763087,0.062570268,-0.061294135,2.89e-18,1,1,0,2.797251263,160.6982132,-0.78,1.598288066,283.2744156222942
Nc1ccc(C)cc1,8,8,8,0,1,0,1,1,1,0,107.156,53.3871,31.224,2.028426679,0.01892966,26.02,1.57722,35.5914,0.142857143,2.007151503,0.156215748,-0.398728565,2.24e-18,1,1,0,3.032455532,143.2466295,-0.98,0.997109257,260.5027833333332
Ic1ccc([N+](=O)[O-])cc1,10,10,10,1,1,0,4,0,2,0,249.007,68.7201,51.768,2.788827086,0.011199794,43.14,2.1994,45.8134,0.0,3.623495839,0.268996587,-0.25830963,9.91e-19,1,1,0,3.003400685,244.4296584,-0.65,1.662923452,381.139744345238
C(=O)Oc1ccc([N+](=O)[O-])cc1,12,12,12,3,1,0,5,0,4,0,167.12,59.6826,83.328,2.762712352,0.016531309,69.44,1.13,39.7884,0.0,2.800146059,0.297996027,-0.428755714,-5.51e-18,1,1,0,2.846340724,292.779615,-1.91,1.785922104,405.2131791666665
OCc1ccc(C(=O)O)cc1,11,11,11,2,1,0,3,2,2,0,152.149,58.98615,69.036,2.645551144,0.017387897,57.53,0.8771,39.3241,0.125,2.57940207,0.335178598,-0.477639249,-4.02e-18,1,1,0,2.913801563,250.5446101,-1.35,1.782313714,415.41161011904745
CCCc1ccc(C(=O)O)cc1,12,12,12,3,1,0,2,1,1,0,164.204,71.09445,44.76,2.985390509,0.018180985,37.3,2.3373,47.3963,0.3,2.309659864,0.335178575,-0.477639249,-7.52e-18,1,1,0,2.780862289,261.6719978,-1.31,2.087500407,396.08186845238095
Oc1ccc(CCC)cc1,10,10,10,2,1,0,1,1,1,0,136.194,63.1527,24.276,2.610224276,0.019165486,20.23,2.3447,42.1018,0.333333333,2.156582345,0.29309207,-0.507966645,-6.31e-19,1,1,0,2.693803452,188.3881692,-0.98,1.760845125,342.43566238095235
Ic1ccc(C)cc1,8,8,8,0,1,0,1,0,0,0,218.037,65.844,0.0,2.277409376,0.010445059,0.0,2.59962,43.896,0.142857143,3.311417847,0.06339512,-0.05827412,1.16e-18,1,1,0,3.032455532,143.2466295,-0.05,1.472587813,251.60446999999974
C(=O)Nc1ccc(F)cc1,10,10,10,2,1,0,3,1,1,0,139.129,54.13005,34.92,2.412943914,0.017343213,29.1,1.394,36.0867,0.0,2.570272842,0.211012486,-0.328694542,8.24e-18,1,1,0,2.78284959,219.5526455,-1.38,1.548525511,413.0803104166667
Clc1ccc(N)cc1,8,8,8,0,1,0,2,1,1,0,127.574,53.7966,31.224,2.20906679,0.017315964,26.02,1.9222,35.8644,0.0,2.371413763,0.156215758,-0.398727447,-6.94e-18,1,1,0,3.032455532,147.3883389,-0.69,1.138019489,407.62874166666666
Oc1ccc(C(=O)N)cc1,10,10,10,1,1,0,3,2,2,0,137.138,54.93705,75.984,2.402157216,0.01751635,63.32,0.4911,36.6247,0.0,2.496275237,0.293092075,-0.507966196,3.67e-18,1,1,0,3.003400685,240.2879489,-1.51,1.253904639,429.10514999999987
Oc1ccc(F)cc1,8,8,8,0,1,0,2,1,1,0,112.103,42.0972,24.276,1.996908736,0.01781316,20.23,1.5313,28.0648,0.0,2.662956143,0.293092107,-0.507963394,-3.2e-18,1,1,0,3.032455532,147.3883389,-1.05,0.964169346,296.04513666666645
Clc1ccc(Br)cc1,8,8,8,0,1,0,2,0,0,0,191.455,58.728,0.0,2.577999367,0.013465302,0.0,3.1025,39.152,0.0,3.260029232,0.063880347,-0.084343133,-1.73e-18,1,1,0,3.032455532,147.3883389,-0.01,1.494503503,319.41185392857136
