SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3,Tg_K
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)O)CO)CO)CO)CO)O)O)O)O,108,56,112,30,0,5,26,17,26,0,828.7200000000024,693.7840000000002,390.3491578274693,7.332615619455246,0.7689929270114553,426.9800000000001,-11.92460000000002,166.5196,1.0,1.1944928104424464,0.2134634098215541,-0.3935665150908041,4.1119371282413195e-18,5,0,0,1.9854406151383983,3280.525051549879,-1.0400000000000005,9.156810533788228,441.15
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,45,23,46,12,0,2,11,8,11,0,342.2969999999996,289.6720000000001,162.03917075393227,3.505014315602865,0.3403883421572643,189.53,-5.397199999999994,68.61940000000003,1.0,1.1816709933994294,0.2134634098215541,-0.3935665150908041,8.018277400070574e-18,2,0,0,3.22226283161516,1106.20914151474,-0.4399999999999999,3.6467229106733217,436.0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,45,23,46,12,0,2,11,8,11,0,342.2969999999996,289.6720000000001,162.03917075393227,3.505014315602865,0.3403883421572643,189.53,-5.397199999999994,68.61940000000003,1.0,1.1816709933994294,0.2134634098215541,-0.3935665150908041,8.018277400070574e-18,2,0,0,3.22226283161516,1106.20914151474,-0.4399999999999999,3.6467229106733217,436.0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,45,23,46,12,0,2,11,8,11,0,342.2969999999996,289.6720000000001,162.03917075393227,3.505014315602865,0.3403883421572643,189.53,-5.397199999999994,68.61940000000003,1.0,1.1816709933994294,0.2134634098215541,-0.3935665150908041,8.018277400070574e-18,2,0,0,3.22226283161516,1106.20914151474,-0.4399999999999999,3.6467229106733217,436.0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,45,23,46,12,0,2,11,8,11,0,342.2969999999996,289.6720000000001,162.03917075393227,3.505014315602865,0.3403883421572643,189.53,-5.397199999999994,68.61940000000003,1.0,1.1816709933994294,0.2134634098215541,-0.3935665150908041,8.018277400070574e-18,2,0,0,3.22226283161516,1106.20914151474,-0.4399999999999999,3.6467229106733217,436.0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,45,23,46,12,0,2,11,8,11,0,342.2969999999996,289.6720000000001,162.03917075393227,3.505014315602865,0.3403883421572643,189.53,-5.397199999999994,68.61940000000003,1.0,1.1816709933994294,0.2134634098215541,-0.3935665150908041,8.018277400070574e-18,2,0,0,3.22226283161516,1106.20914151474,-0.4399999999999999,3.6467229106733217,436.0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,45,23,46,12,0,2,11,8,11,0,342.2969999999996,289.6720000000001,162.03917075393227,3.505014315602865,0.3403883421572643,189.53,-5.397199999999994,68.61940000000003,1.0,1.1816709933994294,0.2134634098215541,-0.3935665150908041,8.018277400070574e-18,2,0,0,3.22226283161516,1106.20914151474,-0.4399999999999999,3.6467229106733217,436.0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,45,23,46,12,0,2,11,8,11,0,342.2969999999996,289.6720000000001,162.03917075393227,3.505014315602865,0.3403883421572643,189.53,-5.397199999999994,68.61940000000003,1.0,1.1816709933994294,0.2134634098215541,-0.3935665150908041,8.018277400070574e-18,2,0,0,3.22226283161516,1106.20914151474,-0.4399999999999999,3.6467229106733217,436.0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O,66,34,68,18,0,3,16,11,16,0,504.4379999999997,424.2480000000001,238.14249977844435,4.854326159020569,0.5752466682401057,268.67999999999995,-7.572999999999989,101.2528,1.0,1.189016801493465,0.2134634098215541,-0.3935665150908041,9.041589026303358e-18,3,0,0,2.68969615972048,1794.51204682764,-0.64,5.371071615873201,407.0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O,66,34,68,18,0,3,16,11,16,0,504.4379999999997,424.2480000000001,238.14249977844435,4.854326159020569,0.5752466682401057,268.67999999999995,-7.572999999999989,101.2528,1.0,1.189016801493465,0.2134634098215541,-0.3935665150908041,9.041589026303358e-18,3,0,0,2.68969615972048,1794.51204682764,-0.64,5.371071615873201,407.0
